Land;Postleitzahl;Zusatzzahl;Ort;Amtliche Gemeindeverzeichnis ID
CH;1687;0;Vuisternens-Romont;0
CH;1687;2;La Magne;0
CH;1687;3;EstÇvenens;0
CH;1688;0;Sommentier;0
CH;1688;2;Lieffrens;0
CH;1689;0;ChÉtelard-p-Romont;0
CH;1690;0;Villaz-St-Pierre;0
CH;1690;2;Lussy FR;0
CH;1691;0;Villarimboud;0
CH;1692;0;Massonnens;0
CH;1694;0;Villarsiviriaux;0
CH;1694;2;Villargiroud;0
CH;1694;3;Orsonnens;0
CH;1694;4;Chavannes-Orsonnen;0
CH;1695;0;Villarlod;0
CH;1695;2;Rueyres-St-Laurent;0
CH;1695;3;Estavayer-Gibloux;0
CH;1695;4;Villarsel-Gibloux;0
CH;1696;0;Vuisternens-Ogoz;0
CH;1697;0;La Joux FR;0
CH;1697;2;Les Ecasseys;0
CH;1699;0;Porsel;0
CH;1699;2;Pont (Veveyse);0
CH;1699;3;Bouloz;0
CH;1700;0;Fribourg;0
CH;1700;1;Fribourg 1;0
CH;1700;48;Fribourg PF Fil.;0
CH;1700;60;Fribourg 1 Dist;0
CH;1700;75;Fribourg Caserne;0
CH;1701;0;Fribourg;0
CH;1702;0;Fribourg;0
CH;1704;0;Fribourg;0
CH;1705;0;Fribourg;0
CH;1707;0;Fribourg;0
CH;1708;0;Fribourg;0
CH;1709;0;Fribourg;0
CH;1712;0;Tafers;0
CH;1713;0;St. Antoni;0
CH;1714;0;Heitenried;0
CH;1715;0;Alterswil FR;0
CH;1716;0;Plaffeien;0
CH;1716;2;Oberschrot;0
CH;1716;3;Schwarzsee;0
CH;1717;0;St. Ursen;0
CH;1718;0;Rechthalten;0
CH;1719;0;BrÅnisried;0
CH;1719;2;Zumholz;0
CH;1720;0;Corminboeuf;0
CH;1720;2;ChÇsopelloz;0
CH;1721;0;Misery-Courtion;0
CH;1721;1;Misery;0
CH;1721;2;CormÇrod;0
CH;1721;4;Courtion;0
CH;1722;0;Bourguillon;0
CH;1723;0;Marly;0
CH;1723;1;Marly 1;0
CH;1723;2;Marly 2;0
CH;1723;3;Villarsel-Marly;0
CH;1723;4;Pierrafortscha;0
CH;1723;60;Marly 1 Dist;0
CH;1724;0;Le Mouret;0
CH;1724;2;Essert FR;0
CH;1724;3;Ferpicloz;0
CH;1724;4;MontÇvraz;0
CH;1724;5;Oberried FR;0
CH;1724;6;Senädes;0
CH;1724;7;ZÇnauva;0
CH;1724;8;Bonnefontaine;0
CH;1725;0;Posieux;0
CH;1726;0;Farvagny;0
CH;1726;2;Farvagny-le-Petit;0
CH;1726;3;Grenilles;0
CH;1726;4;Posat;0
CH;1727;0;Corpataux-Magneden;0
CH;1727;2;Magnedens;0
CH;1728;0;Rossens FR;0
CH;1730;0;Ecuvillens;0
CH;1731;0;Ependes FR;0
CH;1732;0;Arconciel;0
CH;1733;0;Treyvaux;0
CH;1734;0;Tentlingen;0
CH;1735;0;Giffers;0
CH;1736;0;St. Silvester;0
CH;1737;0;Plasselb;0
CH;1738;0;Sangernboden;0
CH;1740;0;Neyruz FR;0
CH;1741;0;Cottens FR;0
CH;1742;0;Autigny;0
CH;1744;0;ChÇnens;0
CH;1745;0;Lentigny;0
CH;1746;0;Prez-vers-NorÇaz;0
CH;1747;0;Corserey;0
CH;1748;0;Torny-le-Grand;0
CH;1749;0;Middes;0
CH;1752;0;Villars-sur-GlÉne;0
CH;1752;1;Villars-GlÉne 1;0
CH;1752;2;Villars-GlÉne 2;0
CH;1752;60;Villars-GlÉne Dist;0
CH;1753;0;Matran;0
CH;1754;0;RosÇ;0
CH;1754;2;Corjolens;0
CH;1754;4;Avry-sur-Matran;0
CH;1754;5;Avry-Centre FR;0
CH;1754;60;Corjolens Dist;0
CH;1756;0;Onnens FR;0
CH;1756;2;Lovens;0
CH;1757;0;NorÇaz;0
CH;1762;0;Givisiez;0
CH;1762;49;Givisiez PickPost;0
CH;1762;70;Givisiez Dist Ba;0
CH;1763;0;Granges-Paccot;0
CH;1772;0;Grolley;0
CH;1772;1;Nierlet-les-Bois;0
CH;1772;2;Ponthaux;0
CH;1773;0;LÇchelles;0
CH;1773;2;Chandon;0
CH;1773;3;Russy;0
CH;1774;0;Cousset;0
CH;1774;2;Montagny-les-Monts;0
CH;1775;2;Mannens;0
CH;1775;3;Grandsivaz;0
CH;1776;0;Montagny-la-Ville;0
CH;1782;0;Belfaux;0
CH;1782;2;Autafond;0
CH;1782;3;Lossy;0
CH;1782;4;La Corbaz;0
CH;1782;5;Cormagens;0
CH;1782;6;Formangueires;0
CH;1783;0;Pensier;0
CH;1783;4;Barberàche;0
CH;1784;0;Courtepin;0
CH;1784;2;Cournillens;0
CH;1784;3;Wallenried;0
CH;1785;0;Cressier FR;0
CH;1786;0;Sugiez;0
CH;1787;0;Mìtier (Vully);0
CH;1787;1;Mur (Vully) FR;0
CH;1787;2;Mur (Vully) VD;0
CH;1788;0;Praz (Vully);0
CH;1789;0;Lugnorre;0
CH;1791;0;Courtaman;0
CH;1792;0;Cordast;0
CH;1792;2;Guschelmuth;0
CH;1793;0;Jeuss;0
CH;1794;0;Salvenach;0
CH;1795;0;Courlevon;0
CH;1796;0;Courgevaux;0
CH;1797;0;MÅnchenwiler;0
CH;1800;0;Vevey;0
CH;1800;1;Vevey 1;0
CH;1800;2;Vevey 2;0
CH;1800;60;Vevey 1 Dist;0
CH;1801;0;Le Mont-Pälerin;0
CH;1802;0;Corseaux;0
CH;1803;0;Chardonne;0
CH;1804;0;Corsier-sur-Vevey;0
CH;1805;0;Jongny;0
CH;1805;60;Jongny Dist;0
CH;1806;0;St-LÇgier-ChiÇsaz;0
CH;1806;60;St-LÇgier Dist;0
CH;1806;70;St-LÇgier Dist Fil;0
CH;1807;0;Blonay;0
CH;1808;0;Monts-de-Corsier;0
CH;1809;0;Fenil-sur-Corsier;0
CH;1811;0;Vevey;0
CH;1814;0;La Tour-de-Peilz;0
CH;1815;0;Clarens;0
CH;1816;0;Chailly-Montreux;0
CH;1816;60;Chailly Dist;0
CH;1817;0;Brent;0
CH;1818;0;Montreux Redoute;0
CH;1820;0;Montreux;0
CH;1820;1;Montreux 1;0
CH;1820;2;Montreux 2;0
CH;1820;4;Territet-Veytaux;0
CH;1820;5;Territet;0
CH;1820;6;Veytaux;0
CH;1820;60;Montreux 1 Dist;0
CH;1822;0;Chernex;0
CH;1823;0;Glion;0
CH;1824;0;Caux;0
CH;1832;0;Chamby;0
CH;1832;2;Villard-sur-Chamby;0
CH;1833;0;Les Avants;0
CH;1844;0;Villeneuve VD;0
CH;1844;60;Villeneuve VD Dist;0
CH;1845;0;Noville;0
CH;1846;0;Chessel;0
CH;1847;0;Rennaz;0
CH;1852;0;Roche VD;0
CH;1853;0;Yvorne;0
CH;1854;0;Leysin;0
CH;1854;60;Leysin Dist;0
CH;1856;0;Corbeyrier;0
CH;1860;0;Aigle;0
CH;1860;47;Aigle Gare CFF;0
CH;1860;60;Aigle Distribution;0
CH;1862;0;Les Mosses;0
CH;1862;2;La Comballaz;0
CH;1863;0;Le SÇpey;0
CH;1864;0;Vers-l'Eglise;0
CH;1865;0;Les Diablerets;0
CH;1866;0;La Forclaz VD;0
CH;1867;0;Ollon VD;0
CH;1867;2;St-Triphon;0
CH;1867;3;Panex;0
CH;1868;0;Collombey;0
CH;1869;0;Massongex;0
CH;1870;0;Monthey;0
CH;1870;1;Monthey 1;0
CH;1870;2;Monthey 2;0
CH;1870;60;Monthey 1 Dist;0
CH;1871;0;Choâx;0
CH;1871;2;Les Giettes;0
CH;1872;0;Troistorrents;0
CH;1873;0;Val-d'Illiez;0
CH;1873;2;Champoussin;0
CH;1873;3;Les Crosets;0
CH;1874;0;ChampÇry;0
CH;1875;0;Morgins;0
CH;1880;0;Bex;0
CH;1880;2;Freniäres-sur-Bex;0
CH;1880;3;Fenalet-sur-Bex;0
CH;1880;4;Les Plans-sur-Bex;0
CH;1880;60;Bex Distribution;0
CH;1880;70;Bex Dist Fil;0
CH;1882;0;Gryon;0
CH;1882;2;Les Posses-sur-Bex;0
CH;1884;0;Villars-sur-Ollon;0
CH;1884;2;Arveyes;0
CH;1884;3;HuÇmoz;0
CH;1885;0;Chesiäres;0
CH;1890;0;St-Maurice;0
CH;1890;1;Mex VS;0
CH;1890;75;St-Maurice Caserne;0
CH;1891;11;VÇrossaz;0
CH;1892;0;Lavey-Village;0
CH;1892;1;Lavey-les-Bains;0
CH;1892;2;Morcles;0
CH;1893;0;Muraz (Collombey);0
CH;1895;0;Vionnaz;0
CH;1896;0;Vouvry;0
CH;1896;2;Miex;0
CH;1897;0;Bouveret;0
CH;1897;2;Port-Valais;0
CH;1897;3;Les Evouettes;0
CH;1898;0;St-Gingolph;0
CH;1899;0;Torgon;0
CH;1902;0;Evionnaz;0
CH;1903;0;Collonges;0
CH;1904;0;Vernayaz;0
CH;1905;0;DorÇnaz;0
CH;1905;76;DorÇnaz PA;0
CH;1906;0;Charrat;0
CH;1907;0;Saxon;0
CH;1908;0;Riddes;0
CH;1911;0;Ovronnaz;0
CH;1911;2;Mayens-de-Chamoson;0
CH;1912;0;Leytron;0
CH;1912;2;Produit (Leytron);0
CH;1912;3;Montagnon (Leytron;0
CH;1912;4;Dugny (Leytron);0
CH;1913;0;Saillon;0
CH;1914;0;IsÇrables;0
CH;1914;2;Auddes-sur-Riddes;0
CH;1918;0;La Tzoumaz;0
CH;1919;0;Martigny Mutuel;0
CH;1920;0;Martigny;0
CH;1920;1;Martigny 1;0
CH;1920;2;Martigny 2;0
CH;1920;3;Martigny Gare CFF;0
CH;1920;48;Martigny PF;0
CH;1920;60;Martigny 1 Dist;0
CH;1921;0;Martigny-Croix;0
CH;1922;0;Salvan;0
CH;1922;1;Granges (Salvan);0
CH;1923;0;Les MarÇcottes;0
CH;1923;2;Le TrÇtien;0
CH;1925;0;Finhaut;0
CH;1925;1;Le ChÉtelard VS;0
CH;1926;0;Fully;0
CH;1926;60;Fully Dist;0
CH;1927;0;Chemin;0
CH;1928;0;Ravoire;0
CH;1929;0;Trient;0
CH;1932;0;Bovernier;0
CH;1932;2;Les Valettes;0
CH;1933;0;Sembrancher;0
CH;1933;2;Vens(Sembrancher);0
CH;1933;3;Chamoille;0
CH;1933;4;La Garde;0
CH;1934;0;Le ChÉble VS;0
CH;1934;1;Bruson;0
CH;1934;2;Cotterg(Le ChÉble);0
CH;1934;3;Villette;0
CH;1934;4;Fontenelle;0
CH;1934;5;Montagnier;0
CH;1934;60;Le ChÉble VS Dist;0
CH;1936;0;Verbier;0
CH;1937;0;Orsiäres;0
CH;1938;0;Champex-Lac;0
CH;1941;0;Volläges;0
CH;1941;2;Cries (Volläges);0
CH;1942;0;Levron;0
CH;1943;0;Praz-de-Fort;0
CH;1944;0;La Fouly VS;0
CH;1945;0;Liddes;0
CH;1945;2;Fontaine Dessus;0
CH;1945;3;Fontaine Dessous;0
CH;1945;4;Dranse (Liddes);0
CH;1945;5;Chandonne (Liddes);0
CH;1945;6;Rive Haute(Liddes);0
CH;1945;7;Fornex(Liddes);0
CH;1945;8;Les Moulins VS;0
CH;1945;9;Vichäres (Liddes);0
CH;1945;10;Palasuit (Liddes);0
CH;1945;11;Chez Petit(Liddes);0
CH;1945;12;Petit Vichäres;0
CH;1946;0;Bourg-St-Pierre;0
CH;1947;0;Versegäres;0
CH;1947;2;Prarreyer;0
CH;1947;3;Les Places;0
CH;1947;4;La Montoz;0
CH;1947;5;Champsec;0
CH;1947;6;Le Fregnoley;0
CH;1948;0;Lourtier;0
CH;1948;1;Fionnay;0
CH;1948;2;Sarreyer;0
CH;1948;3;Le Planchamp;0
CH;1948;4;Le Morgnes;0
CH;1950;0;Sion;0
CH;1950;1;Sion 1;0
CH;1950;2;Sion 2;0
CH;1950;3;Sion 3;0
CH;1950;4;Sion 4;0
CH;1950;60;Sion 1 Dist;0
CH;1950;70;Sion Dist Ba;0
CH;1950;75;Sion Caserne;0
CH;1951;0;Sion;0
CH;1951;50;Sion CLVTR;0
CH;1951;76;Sion car postal;0
CH;1955;0;Chamoson;0
CH;1955;2;Les VÇrines;0
CH;1955;3;NÇmiaz (Chamoson);0
CH;1955;4;Grugnay (Chamoson);0
CH;1955;5;St-Pierre-Clages;0
CH;1957;0;Ardon;0
CH;1958;0;St-LÇonard;0
CH;1958;2;Uvrier;0
CH;1961;0;Vernamiäge;0
CH;1962;0;Pont-de-la-Morge;0
CH;1963;0;VÇtroz;0
CH;1964;0;Conthey;0
CH;1964;60;Conthey Dist;0
CH;1965;0;Saviäse;0
CH;1965;2;Roumaz (Saviäse);0
CH;1965;3;Granois (Saviäse);0
CH;1965;4;St-Germain;0
CH;1965;5;Ormìne (Saviäse);0
CH;1965;6;Mayens-de-la-Zour;0
CH;1965;7;Chandolin-Saviäse;0
CH;1965;8;Drìne VS;0
CH;1965;9;Monteiller-Saviäse;0
CH;1965;60;Saviäse Dist;0
CH;1966;0;Ayent;0
CH;1966;2;Fortunau (Ayent);0
CH;1966;3;Luc (Ayent);0
CH;1966;4;St-Romain (Ayent);0
CH;1966;5;Saxonne (Ayent);0
CH;1966;6;Villa (Ayent);0
CH;1966;7;La Place (Ayent);0
CH;1966;8;Botyre (Ayent);0
CH;1966;9;Blignou (Ayent);0
CH;1966;10;Argnou (Ayent);0
CH;1966;11;Signäse (Ayent);0
CH;1967;0;Bramois;0
CH;1968;0;Mase;0
CH;1969;0;St-Martin VS;0
CH;1969;2;Liez (St-Martin);0
CH;1969;3;Trogne (St-Martin);0
CH;1969;4;Suen (St-Martin);0
CH;1969;5;Eison (St.Martin);0
CH;1971;0;Grimisuat;0
CH;1971;2;Champlan;0
CH;1972;0;Anzäre;0
CH;1973;0;Nax;0
CH;1974;0;Arbaz;0
CH;1975;0;St-SÇverin;0
CH;1976;0;Erde;0
CH;1976;1;Aven;0
CH;1976;2;Daillon;0
CH;1977;0;Icogne;0
CH;1978;0;Lens;0
CH;1981;0;Vex;0
CH;1982;0;Euseigne;0
CH;1983;0;Evoläne;0
CH;1983;2;Lana (Evoläne);0
CH;1984;0;Les Haudäres;0
CH;1984;1;La Tour VS;0
CH;1985;0;La Sage;0
CH;1985;1;La Forclaz VS;0
CH;1985;2;Villaz VS;0
CH;1986;0;Arolla;0
CH;1987;0;HÇrÇmence;0
CH;1987;1;MÉche;0
CH;1988;0;Thyon-Les Collons;0
CH;1988;1;Thyon;0
CH;1988;2;Les Collons;0
CH;1991;0;Salins;0
CH;1991;2;Arvillard (Salins);0
CH;1991;3;Pravidondaz;0
CH;1991;4;Turin (Salins);0
CH;1991;5;MisÇriez (Salins);0
CH;1992;0;Les Agettes;0
CH;1992;1;Les Mayens-de-Sion;0
CH;1992;2;La Vernaz;0
CH;1992;3;Cràte-Ö-l'Oeil;0
CH;1993;0;Veysonnaz;0
CH;1993;2;Cläbes (Nendaz);0
CH;1994;2;Aproz (Nendaz);0
CH;1996;0;Basse-Nendaz;0
CH;1996;1;Fey (Nendaz);0
CH;1996;2;Bieudron (Nendaz);0
CH;1996;3;CondÇmines (Nendaz;0
CH;1996;4;Saclentz;0
CH;1996;5;Baar (Nendaz);0
CH;1996;6;Beuson (Nendaz);0
CH;1996;7;Brignon (Nendaz);0
CH;1997;0;Haute-Nendaz;0
CH;1997;1;Siviez (Nendaz);0
CH;1997;2;Sornard (Nendaz);0
CH;2000;0;NeuchÉtel;0
CH;2000;2;NeuchÉtel 2;0
CH;2000;60;NeuchÉtel 2 Dist;0
CH;2001;0;NeuchÉtel 1 DÇpìt;0
CH;2001;1;NeuchÉtel 1;0
CH;2002;1;NeuchÉtel 2;0
CH;2003;0;NeuchÉtel 3;0
CH;2004;0;NeuchÉtel 4;0
CH;2006;0;NeuchÉtel 6;0
CH;2007;0;NeuchÉtel 7;0
CH;2008;0;NeuchÉtel;0
CH;2009;0;NeuchÉtel 9;0
CH;2010;0;NeuchÉtel OFS;0
CH;2012;0;Auvernier;0
CH;2013;0;Colombier NE;0
CH;2013;60;Colombier NE Dist;0
CH;2013;70;Boudry Dist Ba;0
CH;2013;75;Colombier NE Cas;0
CH;2014;0;Bìle;0
CH;2015;0;Areuse;0
CH;2016;0;Cortaillod;0
CH;2017;0;Boudry;0
CH;2019;0;Rochefort;0
CH;2019;2;Chambrelien;0
CH;2022;0;Bevaix;0
CH;2023;0;Gorgier;0
CH;2024;0;St-Aubin-Sauges;0
CH;2025;0;Chez-le-Bart;0
CH;2027;2;Montalchez;0
CH;2027;3;Fresens;0
CH;2028;0;Vaumarcus;0
CH;2034;0;Peseux;0
CH;2035;0;Corcelles NE;0
CH;2035;60;Corcelles NE Dist;0
CH;2036;0;Cormondräche;0
CH;2037;0;Montmollin;0
CH;2037;2;Montezillon;0
CH;2042;0;Valangin;0
CH;2043;0;Boudevilliers;0
CH;2046;0;Fontaines NE;0
CH;2052;0;Fontainemelon;0
CH;2052;2;La Vue-des-Alpes;0
CH;2053;0;Cernier;0
CH;2054;0;ChÇzard-St-Martin;0
CH;2054;2;Les Vieux-PrÇs;0
CH;2056;0;Dombresson;0
CH;2057;0;Villiers;0
CH;2058;0;Le PÉquier NE;0
CH;2063;0;Vilars NE;0
CH;2063;2;Engollon;0
CH;2063;3;Fenin;0
CH;2063;4;Saules;0
CH;2065;0;Savagnier;0
CH;2067;0;Chaumont;0
CH;2068;0;Hauterive NE;0
CH;2072;0;St-Blaise;0
CH;2073;0;Enges;0
CH;2074;0;Marin-Epagnier;0
CH;2074;2;Marin-Centre;0
CH;2074;60;Marin-Epagnier Dis;0
CH;2075;1;Thielle;0
CH;2075;2;Wavre;0
CH;2087;0;Cornaux NE;0
CH;2088;0;Cressier NE;0
CH;2103;0;Noiraigue;0
CH;2105;0;Travers;0
CH;2108;0;Couvet;0
CH;2112;0;Mìtiers NE;0
CH;2113;0;Boveresse;0
CH;2114;0;Fleurier;0
CH;2115;0;Buttes;0
CH;2116;0;Mont-de-Buttes;0
CH;2117;0;La Cìte-aux-FÇes;0
CH;2123;0;St-Sulpice NE;0
CH;2124;0;Les Sagnettes;0
CH;2126;0;Les Verriäres;0
CH;2127;0;Les Bayards;0
CH;2149;0;Champ-du-Moulin;0
CH;2149;2;Fretereules;0
CH;2149;3;Brot-Dessous;0
CH;2206;0;Geneveys-Coffrane;0
CH;2207;0;Coffrane;0
CH;2208;0;Les Hauts-Geneveys;0
CH;2300;0;La Chaux-de-Fonds;0
CH;2300;1;La Chaux-de-Fds 1;0
CH;2300;8;La Cibourg;0
CH;2300;60;Chdfds 1 Dist;0
CH;2301;1;La Chaux-de-Fonds;0
CH;2301;2;La Chx-de-F. Combe;0
CH;2302;0;La Chaux-de-Fonds;0
CH;2303;0;La Chaux-de-Fonds;0
CH;2304;0;La Chaux-de-Fonds;0
CH;2306;0;La Chaux-de-Fonds;0
CH;2314;0;La Sagne NE;0
CH;2316;0;Ponts-de-Martel;0
CH;2316;2;Petit-Martel;0
CH;2318;0;Brot-Plamboz;0
CH;2322;0;Le Cràt-du-Locle;0
CH;2325;0;Les Planchettes;0
CH;2325;2;Les Joux-Derriäre;0
CH;2333;0;La Ferriäre;0
CH;2333;2;La Cibourg;0
CH;2336;0;Les Bois;0
CH;2338;0;Les Emibois;0
CH;2338;2;Muriaux;0
CH;2340;0;Le Noirmont;0
CH;2340;60;Le Noirmont Dist;0
CH;2345;0;Les Breuleux;0
CH;2345;2;Le Cerneux-Veusil;0
CH;2345;3;Chaux-des-Breuleux;0
CH;2350;0;SaignelÇgier;0
CH;2353;0;Les Pommerats;0
CH;2354;0;Goumois;0
CH;2360;0;Le BÇmont JU;0
CH;2362;0;Montfaucon;0
CH;2362;2;Montfavergier;0
CH;2363;0;Les Enfers;0
CH;2364;0;St-Brais;0
CH;2400;0;Le Locle;0
CH;2400;2;Le PrÇvoux;0
CH;2400;60;Le Locle Dist;0
CH;2405;0;La Chaux-du-Milieu;0
CH;2406;0;La BrÇvine;0
CH;2406;2;Les Tailläres;0
CH;2406;3;La ChÉtagne;0
CH;2406;4;Le Brouillet;0
CH;2414;0;Cerneux-PÇquignot;0
CH;2416;0;Les Brenets;0
CH;2500;0;Biel/Bienne;0
CH;2500;1;Biel/Bienne 1;0
CH;2500;3;Biel/Bienne 3;0
CH;2500;4;Biel/Bienne 4;0
CH;2500;6;Biel/Bienne 6;0
CH;2500;7;Biel/Bienne 7;0
CH;2500;8;Biel/Bienne 8;0
CH;2500;10;Biel/Bienne 10;0
CH;2500;60;Biel/Bienne 1 Zust;0
CH;2500;68;Biel 1 Annahme;0
CH;2501;0;Biel/Bienne;0
CH;2502;0;Biel/Bienne;0
CH;2503;0;Biel/Bienne;0
CH;2504;0;Biel/Bienne;0
CH;2505;0;Biel/Bienne;0
CH;2510;0;Biel/Bienne DistBa;0
CH;2512;0;TÅscherz-AlfermÇe;0
CH;2513;0;Twann;0
CH;2514;0;Ligerz;0
CH;2515;0;Pràles;0
CH;2516;0;Lamboing;0
CH;2517;0;Diesse;0
CH;2518;0;Nods;0
CH;2520;0;La Neuveville;0
CH;2520;60;La Neuveville Dist;0
CH;2523;0;Ligniäres;0
CH;2525;0;Le Landeron;0
CH;2532;0;Magglingen/Macolin;0
CH;2533;0;Evilard;0
CH;2534;0;Orvin;0
CH;2534;2;Les PrÇs-d'Orvin;0
CH;2535;0;Frinvillier;0
CH;2536;0;Plagne;0
CH;2537;0;Vauffelin;0
CH;2538;0;Romont BE;0
CH;2540;0;Grenchen;0
CH;2540;1;Grenchen 1;0
CH;2540;2;Grenchen 2;0
CH;2540;60;Grenchen 1 Zust;0
CH;2542;0;Pieterlen;0
CH;2543;0;Lengnau BE;0
CH;2544;0;Bettlach;0
CH;2545;0;Selzach;0
CH;2552;0;Orpund;0
CH;2553;0;Safnern;0
CH;2554;0;Meinisberg;0
CH;2555;0;BrÅgg BE;0
CH;2556;0;Scheuren;0
CH;2556;2;Schwadernau;0
CH;2557;0;Studen BE;0
CH;2558;0;Aegerten;0
CH;2560;0;Nidau;0
CH;2560;60;Nidau Zustellung;0
CH;2562;0;Port;0
CH;2563;0;Ipsach;0
CH;2564;0;Bellmund;0
CH;2565;0;Jens;0
CH;2572;0;Sutz;0
CH;2572;2;Mîrigen;0
CH;2575;0;TÑuffelen;0
CH;2575;1;Gerolfingen;0
CH;2575;2;Hagneck;0
CH;2576;0;LÅscherz;0
CH;2577;0;Siselen BE;0
CH;2577;2;Finsterhennen;0
CH;2603;0;PÇry;0
CH;2604;0;La Heutte;0
CH;2605;0;Sonceboz-Sombeval;0
CH;2606;0;CorgÇmont;0
CH;2607;0;CortÇbert;0
CH;2608;0;Courtelary;0
CH;2608;2;Mtgne-Courtelary;0
CH;2610;0;St-Imier;0
CH;2610;2;Mont-Soleil;0
CH;2610;3;Les Pontins;0
CH;2610;4;Mont-Crosin;0
CH;2610;60;St-Imier Dist;0
CH;2612;0;Cormoret;0
CH;2613;0;Villeret;0
CH;2615;0;Sonvilier;0
CH;2615;2;Montagne-Sonvilier;0
CH;2616;0;Renan BE;0
CH;2616;2;La Cibourg;0
CH;2710;0;Tavannes;0
CH;2710;60;Tavannes Dist;0
CH;2712;0;Le Fuet;0
CH;2713;0;Bellelay;0
CH;2714;0;Les Genevez JU;0
CH;2714;2;Le PrÇdame;0
CH;2715;0;ChÉtelat-Monible;0
CH;2715;1;ChÉtelat;0
CH;2715;2;Monible;0
CH;2716;0;Sornetan;0
CH;2717;0;Fornet-Dessous;0
CH;2717;2;RebÇvelier;0
CH;2718;0;Lajoux JU;0
CH;2718;2;Fornet-Dessus;0
CH;2720;0;Tramelan;0
CH;2720;2;La Tanne;0
CH;2720;60;Tramelan Dist;0
CH;2722;0;Les Reussilles;0
CH;2723;0;Mont-Tramelan;0
CH;2732;0;Reconvilier;0
CH;2732;2;Saicourt;0
CH;2732;3;Saules BE;0
CH;2732;4;Loveresse;0
CH;2733;0;Pontenet;0
CH;2735;0;Malleray-BÇvilard;0
CH;2735;2;BÇvilard;0
CH;2735;3;Champoz;0
CH;2735;4;Malleray;0
CH;2735;60;Malleray-BÇv. Dist;0
CH;2736;0;Sorvilier;0
CH;2738;0;Court;0
CH;2740;0;Moutier;0
CH;2740;1;Moutier 1;0
CH;2740;2;Moutier 2;0
CH;2740;60;Moutier 1 Dist;0
CH;2742;0;Perrefitte;0
CH;2743;0;Eschert;0
CH;2744;0;Belprahon;0
CH;2745;0;Grandval;0
CH;2746;0;CrÇmines;0
CH;2747;0;Corcelles BE;0
CH;2747;2;Seehof;0
CH;2748;0;Souboz;0
CH;2748;2;Les Ecorcheresses;0
CH;2762;0;Roches BE;0
CH;2800;0;DelÇmont;0
CH;2800;1;DelÇmont 1;0
CH;2800;2;DelÇmont 2;0
CH;2800;60;DelÇmont 1 Dist;0
CH;2800;70;DelÇmont Dist Ba;0
CH;2800;76;DelÇmont car post;0
CH;2802;0;Develier;0
CH;2802;76;Develier PostAuto;0
CH;2803;0;Bourrignon;0
CH;2805;0;Soyhiäres;0
CH;2806;0;Mettembert;0
CH;2807;0;Pleigne;0
CH;2807;1;Lucelle;0
CH;2812;0;Movelier;0
CH;2813;0;Ederswiler;0
CH;2814;0;Roggenburg;0
CH;2822;0;Courroux;0
CH;2823;0;Courcelon;0
CH;2824;0;Vicques;0
CH;2825;0;Courchapoix;0
CH;2826;0;Corban;0
CH;2827;0;Mervelier;0
CH;2827;2;Schelten;0
CH;2828;0;Montsevelier;0
CH;2829;0;Vermes;0
CH;2830;0;Courrendlin;0
CH;2830;2;Vellerat;0
CH;2832;0;Rebeuvelier;0
CH;2842;0;Rossemaison;0
CH;2843;0;ChÉtillon JU;0
CH;2852;0;CourtÇtelle;0
CH;2853;0;Courfaivre;0
CH;2854;0;Bassecourt;0
CH;2855;0;Glovelier;0
CH;2856;0;BoÇcourt;0
CH;2857;0;Montavon;0
CH;2863;0;Undervelier;0
CH;2864;0;Soulce;0
CH;2873;0;Saulcy;0
CH;2882;0;St-Ursanne;0
CH;2883;0;Montmelon;0
CH;2884;0;Montenol;0
CH;2885;0;Epauvillers;0
CH;2886;0;Epiquerez;0
CH;2887;0;Soubey;0
CH;2888;0;Seleute;0
CH;2889;0;Ocourt;0
CH;2900;0;Porrentruy;0
CH;2900;1;Porrentruy 1;0
CH;2900;2;Porrentruy 2;0
CH;2900;60;Porrentruy 1 Dist;0
CH;2900;75;Porrentruy Caserne;0
CH;2902;0;Fontenais;0
CH;2903;0;Villars-Fontenais;0
CH;2904;0;Bressaucourt;0
CH;2905;0;Courtedoux;0
CH;2906;0;Chevenez;0
CH;2907;0;Rocourt;0
CH;2908;0;Grandfontaine;0
CH;2912;2;RÇcläre;0
CH;2912;3;Roche-d'Or;0
CH;2914;0;Damvant;0
CH;2915;0;Bure;0
CH;2916;0;Fahy;0
CH;2922;0;Courchavon;0
CH;2923;0;Courtemaåche;0
CH;2924;0;Montignez;0
CH;2925;0;Buix;0
CH;2926;0;Boncourt;0
CH;2932;0;Coeuve;0
CH;2933;2;Damphreux;0
CH;2933;3;Lugnez;0
CH;2935;0;BeurnevÇsin;0
CH;2942;0;Alle;0
CH;2943;0;Vendlincourt;0
CH;2944;0;Bonfol;0
CH;2946;0;MiÇcourt;0
CH;2947;0;Charmoille;0
CH;2950;0;Courgenay;0
CH;2950;2;Courtemautruy;0
CH;2952;0;Cornol;0
CH;2953;0;FregiÇcourt-Pleuj;0
CH;2953;2;FregiÇcourt;0
CH;2953;3;Pleujouse;0
CH;2954;0;Asuel;0
CH;3000;0;Bern;0
CH;3000;1;Bern 1 Schanzenpst;0
CH;3000;5;Bern 5;0
CH;3000;6;Bern 6;0
CH;3000;8;Bern 8;0
CH;3000;9;Bern 9;0
CH;3000;13;Bern 13;0
CH;3000;14;Bern 14;0
CH;3000;15;Bern 15;0
