Land;Postleitzahl;Zusatzzahl;Ort;Amtliche Gemeindeverzeichnis ID
CH;1146;0;Mollens VD;0
CH;1147;0;Montricher;0
CH;1148;0;L'Isle;0
CH;1148;2;Mauraz;0
CH;1148;3;Villars-Bozon;0
CH;1148;4;Cuarnens;0
CH;1148;5;Mont-la-Ville;0
CH;1148;6;La Praz;0
CH;1148;7;Chavannes-Veyron;0
CH;1148;8;Moiry VD;0
CH;1148;9;La Coudre;0
CH;1149;0;Berolle;0
CH;1162;0;St-Prex;0
CH;1162;60;St-Prex Dist;0
CH;1163;0;Etoy;0
CH;1164;0;Buchillon;0
CH;1165;0;Allaman;0
CH;1166;0;Perroy;0
CH;1167;0;Lussy-sur-Morges;0
CH;1168;0;Villars-sous-Yens;0
CH;1169;0;Yens;0
CH;1170;0;Aubonne;0
CH;1170;60;Aubonne Dist;0
CH;1172;0;Bougy-Villars;0
CH;1173;0;FÇchy;0
CH;1174;0;Montherod;0
CH;1174;2;Pizy;0
CH;1175;0;Lavigny;0
CH;1176;0;St-Livres;0
CH;1180;0;Rolle;0
CH;1180;2;Tartegnin;0
CH;1180;60;Rolle Distribution;0
CH;1182;0;Gilly;0
CH;1183;0;Bursins;0
CH;1184;0;Luins;0
CH;1184;1;Vinzel;0
CH;1185;0;Mont-sur-Rolle;0
CH;1186;0;Essertines-Rolle;0
CH;1187;0;St-Oyens;0
CH;1188;0;Gimel;0
CH;1188;2;St-George;0
CH;1189;0;Saubraz;0
CH;1195;0;Dully-Bursinel;0
CH;1195;2;Dully;0
CH;1195;3;Bursinel;0
CH;1196;0;Gland;0
CH;1196;60;Gland Distribution;0
CH;1196;70;Gland Dist Fil;0
CH;1197;0;Prangins;0
CH;1200;0;Genäve;0
CH;1200;1;Genäve 1;0
CH;1200;2;Genäve 2 DÇpìt;0
CH;1200;3;Genäve 3;0
CH;1200;4;Genäve 4;0
CH;1200;5;Genäve 2 Transit;0
CH;1200;6;Genäve 6;0
CH;1200;7;Genäve 7;0
CH;1200;8;Genäve 8;0
CH;1200;11;Genäve 11;0
CH;1200;12;Genäve 12;0
CH;1200;13;Genäve 13;0
CH;1200;17;Genäve 17;0
CH;1200;18;Genäve 18;0
CH;1200;19;Genäve 19;0
CH;1200;20;Genäve 20;0
CH;1200;21;Genäve 21;0
CH;1200;24;Genäve 24;0
CH;1200;26;Genäve 26;0
CH;1200;28;Genäve 28 Balexert;0
CH;1200;50;Genäve (CLT);0
CH;1200;60;Genäve 2 Dist;0
CH;1200;70;Genäve Dist Ba;0
CH;1201;0;Genäve;0
CH;1202;0;Genäve;0
CH;1203;0;Genäve;0
CH;1204;0;Genäve;0
CH;1205;0;Genäve;0
CH;1206;0;Genäve;0
CH;1207;0;Genäve;0
CH;1208;0;Genäve;0
CH;1209;0;Genäve;0
CH;1211;1;Genäve 1;0
CH;1211;2;Genäve 2;0
CH;1211;3;Genäve 3;0
CH;1211;4;Genäve 4;0
CH;1211;5;Genäve 5;0
CH;1211;6;Genäve 6;0
CH;1211;7;Genäve 7;0
CH;1211;8;Genäve 8;0
CH;1211;10;Genäve 10;0
CH;1211;11;Genäve 11;0
CH;1211;12;Genäve 12;0
CH;1211;13;Genäve 13;0
CH;1211;14;Genäve 14;0
CH;1211;17;Genäve 17;0
CH;1211;19;Genäve 19;0
CH;1211;20;Genäve 20;0
CH;1211;21;Genäve 21;0
CH;1211;22;Genäve 22;0
CH;1211;23;Genäve 23;0
CH;1211;26;Genäve 26;0
CH;1211;27;Genäve 27;0
CH;1211;28;Genäve 28;0
CH;1211;65;Genäve 2 Swisscom;0
CH;1211;70;Genäve 70 CS;0
CH;1211;71;Genäve 71 CS CP;0
CH;1211;73;Genäve 73;0
CH;1211;75;Genäve 26 Caserne;0
CH;1211;84;Genäve 84 Votation;0
CH;1211;90;Genäve 5 DÇpìt;0
CH;1211;94;Genäve 94 UBS;0
CH;1212;0;Grand-Lancy;0
CH;1212;1;Grand-Lancy 1;0
CH;1212;60;Grand-Lancy Dist;0
CH;1213;0;Petit-Lancy;0
CH;1213;1;Petit-Lancy 1;0
CH;1213;2;Petit-Lancy 2;0
CH;1213;3;Onex;0
CH;1213;60;Petit-Lancy Dist;0
CH;1214;0;Vernier;0
CH;1214;60;Vernier Dist;0
CH;1215;0;Genäve;0
CH;1215;2;Genäve ICC OLS;0
CH;1215;68;Genäve 15 DÇpìt;0
CH;1216;0;Cointrin;0
CH;1217;0;Meyrin;0
CH;1217;1;Meyrin 1;0
CH;1217;2;Meyrin 2;0
CH;1217;60;Meyrin Dist;0
CH;1218;0;Le Grand-Saconnex;0
CH;1218;60;Grand-Saconnex D;0
CH;1219;0;Le Lignon;0
CH;1219;10;Aãre;0
CH;1219;12;ChÉtelaine;0
CH;1219;48;Lignon B&V GK;0
CH;1219;49;Lignon B&V GK 2;0
CH;1219;60;Le Lignon Dist;0
CH;1220;0;Les Avanchets;0
CH;1222;0;VÇsenaz;0
CH;1222;60;VÇsenaz Dist;0
CH;1223;0;Cologny;0
CH;1223;60;Cologny Dist;0
CH;1224;0;Chàne-Bougeries;0
CH;1225;0;Chàne-Bourg;0
CH;1225;60;Chàne-Bourg Dist;0
CH;1226;0;Thìnex;0
CH;1227;0;Carouge GE;0
CH;1227;4;Les Acacias;0
CH;1227;48;Genäve Carouge;0
CH;1227;60;Carouge GE Dist;0
CH;1228;0;Plan-les-Ouates;0
CH;1231;0;Conches;0
CH;1232;0;Confignon;0
CH;1233;0;Bernex;0
CH;1233;60;Bernex Dist;0
CH;1234;0;Vessy;0
CH;1236;0;Cartigny;0
CH;1237;0;Avully;0
CH;1239;0;Collex;0
CH;1240;0;Genäve;0
CH;1241;0;Puplinge;0
CH;1242;0;Satigny;0
CH;1243;0;Presinge;0
CH;1244;0;Choulex;0
CH;1245;0;Collonge-Bellerive;0
CH;1246;0;Corsier GE;0
CH;1247;0;Aniäres;0
CH;1248;0;Hermance;0
CH;1251;0;Gy;0
CH;1252;0;Meinier;0
CH;1253;0;Vandoeuvres;0
CH;1254;0;Jussy;0
CH;1255;0;Veyrier;0
CH;1256;0;Troinex;0
CH;1257;0;La Croix-de-Rozon;0
CH;1258;0;Perly;0
CH;1260;0;Nyon;0
CH;1260;1;Nyon 1;0
CH;1260;2;Nyon 2;0
CH;1260;47;Nyon Gare CFF;0
CH;1260;60;Nyon 1 Dist;0
CH;1260;76;Nyon car postal;0
CH;1261;32;Marchissy;0
CH;1261;33;Le Vaud;0
CH;1261;35;Longirod;0
CH;1262;0;Eysins;0
CH;1263;0;Crassier;0
CH;1264;0;St-Cergue;0
CH;1265;0;La Cure;0
CH;1266;0;Duillier;0
CH;1267;0;Vich-Coinsins;0
CH;1267;1;Vich;0
CH;1267;2;Coinsins;0
CH;1268;0;Begnins;0
CH;1268;2;Burtigny;0
CH;1269;0;Bassins;0
CH;1270;0;TrÇlex;0
CH;1271;0;Givrins;0
CH;1272;0;Genolier;0
CH;1273;0;Arzier;0
CH;1273;2;Le Muids;0
CH;1274;0;Signy-Centre;0
CH;1274;1;Signy;0
CH;1274;3;Grens;0
CH;1275;0;ChÇserex;0
CH;1276;0;Gingins;0
CH;1277;0;Borex;0
CH;1277;1;Arnex-sur-Nyon;0
CH;1278;0;La Rippe;0
CH;1279;0;Chavannes-de-Bogis;0
CH;1279;1;Chavannes-Bogis LS;0
CH;1279;2;Bogis-Bossey;0
CH;1281;0;Russin;0
CH;1283;0;La Plaine;0
CH;1283;1;Dardagny;0
CH;1284;0;Chancy;0
CH;1285;0;Athenaz (Avusy);0
CH;1286;0;Soral;0
CH;1287;0;Laconnex;0
CH;1288;0;Aire-la-Ville;0
CH;1289;0;Genäve Serv. SpÇc.;0
CH;1290;0;Versoix;0
CH;1290;2;Chavannes-des-Bois;0
CH;1290;60;Versoix Dist;0
CH;1291;0;Commugny;0
CH;1292;0;ChambÇsy;0
CH;1293;0;Bellevue;0
CH;1294;0;Genthod;0
CH;1295;0;Mies-Tannay;0
CH;1295;1;Mies;0
CH;1295;2;Tannay;0
CH;1296;0;Coppet;0
CH;1296;60;Coppet Dist;0
CH;1297;0;Founex;0
CH;1298;0;CÇligny;0
CH;1299;0;Crans-präs-CÇligny;0
CH;1300;50;EclÇpens CC;0
CH;1300;51;EclÇpens SAB;0
CH;1300;57;EclÇpens Clinique;0
CH;1300;67;EclÇpens DEN;0
CH;1300;68;EclÇpens CA;0
CH;1302;0;Vufflens-la-Ville;0
CH;1303;0;Penthaz;0
CH;1304;0;Cossonay-Ville;0
CH;1304;2;Dizy;0
CH;1304;3;Allens;0
CH;1304;4;Senarclens;0
CH;1304;60;Cossonay Dist;0
CH;1305;0;Penthalaz;0
CH;1306;0;Daillens;0
CH;1307;0;Lussery-Villars;0
CH;1308;0;La Chaux-Cossonay;0
CH;1310;0;Daillens Centre Co;0
CH;1310;70;Daillens Dist Ba;0
CH;1311;0;EclÇpens SC;0
CH;1312;0;EclÇpens;0
CH;1313;0;Ferreyres;0
CH;1315;0;La Sarraz;0
CH;1316;0;Chevilly;0
CH;1317;0;Orny;0
CH;1318;0;Pompaples;0
CH;1320;0;Daillens ST PP 1;0
CH;1321;0;Arnex-sur-Orbe;0
CH;1322;0;Croy;0
CH;1323;0;Romainmìtier;0
CH;1324;0;Premier;0
CH;1325;0;Vaulion;0
CH;1326;0;Juriens;0
CH;1329;0;Bretonniäres;0
CH;1330;0;Daillens CALL;0
CH;1337;0;Vallorbe;0
CH;1338;0;Ballaigues;0
CH;1341;0;Orient;0
CH;1342;0;Le Pont;0
CH;1343;0;Les Charbonniäres;0
CH;1344;0;L'Abbaye;0
CH;1345;0;Le Lieu;0
CH;1346;0;Les Bioux;0
CH;1347;0;Le Sentier;0
CH;1347;1;Le Solliat;0
CH;1347;60;Le Sentier Dist;0
CH;1348;0;Le Brassus;0
CH;1350;0;Orbe;0
CH;1350;60;Orbe Distribution;0
CH;1352;0;Agiez;0
CH;1353;0;Bofflens;0
CH;1354;0;Montcherand;0
CH;1355;0;L'Abergement;0
CH;1355;2;Sergey;0
CH;1356;0;Les ClÇes;0
